aeronave_tipo_veiculo;aeronave_pais_fabricante;aeronave_fabricante;aeronave_modelo;aeronave_ano_fabricacao;aeronave_assentos;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;ocorrencia;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_icao;aeronave_pmd;aeronave_pmd_categoria;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_tipo_operacao
AVIÃO;BRASIL;***;AW119MKII;2021;0;;SEM TRAÇÃO;CRUZEIRO;LEVE;0;80562;PRFKB;***;A119;2850;2850;BRASIL;AVIÃO;ADMINISTRAÇÃO DIRETA;CAMPO GRANDE;FORA DE AERODROMO;POLICIAL
AVIÃO;ARGENTINA;***;***;0;0;***;SEM TRAÇÃO;CORRIDA APÓS POUSO;SUBSTANCIAL;0;80563;LVGQN;***;***;0;0;ARGENTINA;AVIÃO;PARTICULAR;HERCÍLIO LUZ;ANGRA DOS REIS;PRIVADA
HELICÓPTERO;BRASIL;EUROCOPTER FRANCE;EC 155 B1;2011;8;TURBOEIXO;BIMOTOR;APROXIMAÇÃO FINAL;LEVE;0;80564;PRMJL;***;EC55;4850;4850;BRASIL;HELICÓPTERO;PARTICULAR;MONTE HOREBE;MONTE HOREBE;PRIVADA
AVIÃO;BRASIL;EUROPA AVIATION;EUROPA;1999;2;PISTÃO;MONOMOTOR;DECOLAGEM;SUBSTANCIAL;2;80565;PPXDB;***;ZZZZ;621;621;BRASIL;AVIÃO;EXPERIMENTAL;BEBEDOURO;HIDRELÉTRICA DE ITUMBIARA;PRIVADA
AVIÃO;BRASIL;EMBRAER;EMB-203;2018;1;PISTÃO;MONOMOTOR;DECOLAGEM;SUBSTANCIAL;0;80567;PTCGY;***;IPAN;1900;1900;BRASIL;AVIÃO;AGRÍCOLA;PISTA DE POUSO EVENTUAL;PISTA DE POUSO EVENTUAL;AGRÍCOLA
AVIÃO;BRASIL;CESSNA AIRCRAFT;172N;1979;4;PISTÃO;MONOMOTOR;CRUZEIRO;NENHUM;0;80568;PTMUN;***;C172;1043;1043;BRASIL;AVIÃO;PARTICULAR;POUSADA DAS ÁGUIAS;MUNICIPAL DE GUAÍRA;PRIVADA
AVIÃO;BRASIL;PIPER AIRCRAFT;PA-34-220T;2006;7;PISTÃO;BIMOTOR;TÁXI;LEVE;0;80569;PRJGR;***;PA34;2155;2155;BRASIL;AVIÃO;PARTICULAR;SÍLVIO NAME JÚNIOR;MINISTRO VICTOR KONDER;PRIVADA
AVIÃO;BRASIL;EMBRAER;EMB-810C;1979;6;PISTÃO;BIMOTOR;POUSO;SUBSTANCIAL;0;80571;PTEUN;***;PA34;2073;2073;BRASIL;AVIÃO;PARTICULAR;***;***;PRIVADA
AVIÃO;BRASIL;EMBRAER;ERJ 190-200 IGW;2013;125;JATO;BIMOTOR;DECOLAGEM;NENHUM;0;80572;PRAXP;***;E190;52290;52290;BRASIL;AVIÃO;REGULAR;MINISTRO VICTOR KONDER;VIRACOPOS;REGULAR
AVIÃO;BRASIL;CESSNA AIRCRAFT;172N;1979;4;PISTÃO;MONOMOTOR;CRUZEIRO;NENHUM;0;80573;PTMUN;***;C172;1043;1043;BRASIL;AVIÃO;PARTICULAR;POUSADA DAS ÁGUIAS;MUNICIPAL DE GUAÍRA;PRIVADA
